CityName,CityUniqueID,economy,education,energy,environment,finance,fire and emergency response,governance,health,safety,shelter,solid waste,technology and innovation,transportation,urban planning,wastewater,water and sanitation,all
KABUL,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAFR EL SHEIKH,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAMPALA,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANANGA,308,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
KARBALA,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KATHMANDU,131,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3
KENITRA,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHARTOUM,391,0,4,0,0,0,0,0,4,2,0,2,0,1,0,0,3,16
KIGALI,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KING COUNTY,31,2,2,1,1,1,2,1,4,2,1,2,0,1,1,1,2,24
KIRKUK,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRYVYI RIH,278,2,4,2,1,0,2,0,3,2,0,1,1,3,1,5,3,30
KUWAIT CITY,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA PAZ,310,1,1,0,1,0,0,0,4,1,0,2,1,1,1,2,1,16
LAOAG,119,2,4,2,0,1,2,1,3,2,1,2,1,0,1,0,3,25
LIGAO,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LILONGWE,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIMA,215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LISBON,291,3,4,2,2,1,2,1,3,1,1,2,0,4,1,5,2,34
LOME,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBUMBASHI,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUSAKA,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVIV,281,2,4,2,2,1,2,1,4,2,1,2,0,4,1,4,3,35
MA'AN,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADRID,255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MAFRAQ,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAKATI,137,2,4,2,2,1,2,1,4,2,1,2,1,0,1,2,2,29
MAKKAH,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MALABON,166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MANDALUYONG,111,2,4,0,1,0,2,0,3,2,0,2,0,0,0,0,0,16
MANDAUE,196,0,4,2,0,0,2,0,4,0,0,0,0,0,0,0,2,14
MANDLAKAZI,197,1,2,0,0,0,1,1,2,2,0,0,1,0,0,0,0,10
MAPUTO,321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MAR DEL PLATA,382,1,1,1,0,0,0,0,4,1,0,2,2,1,1,1,3,18
MARIKINA,167,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
MARKHAM,66,1,0,0,1,1,2,1,1,0,0,2,0,0,1,3,3,16
MARSA MATROUH,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASBATE,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MASHHAD,410,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
MBABANE,353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEDICINE HAT,225,2,0,2,0,1,2,1,0,2,1,2,1,3,1,5,3,26
MELBOURNE,419,2,3,2,1,1,0,1,0,1,1,2,0,0,1,5,3,23
MILAN,58,1,4,2,2,0,2,1,4,2,0,2,1,4,1,5,2,33
MINNA,55,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,8
MISSISSAUGA,388,3,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,8
MOMBASA,326,2,4,2,2,1,2,1,4,1,0,2,2,2,1,4,2,32
MONROVIA,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTEVIDEO,276,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MONTREAL,33,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4
MOSUL,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUMBAI,63,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,4
MUNOZ,133,2,4,2,0,1,2,1,4,2,1,2,2,1,1,0,3,28
MUSCAT,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAIHATI,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAIVASHA,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAJRAN,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAPLES,372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N'DJAMENA,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NELSON MANDELA BAY,298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NEWCASTLE,294,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,8
NEWMARKET,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIORO DU RIP,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH SINAI,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLONGAPO,98,2,4,2,0,1,2,1,4,2,1,2,2,4,1,2,3,33
OROQUIETA,87,1,4,0,0,1,2,1,3,2,1,2,0,0,0,0,0,17
OSHAWA,226,0,3,2,1,0,2,1,4,2,1,2,1,4,0,5,3,31
OUJDA,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALAYAN,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PASSI,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PENRITH,236,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,5
PEORIA,147,3,3,2,1,1,2,1,4,2,1,2,2,3,1,5,3,36
PHNOM PENH,169,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
PICKERING,243,2,0,1,1,1,2,1,1,0,1,0,0,4,1,0,1,16
PIROT,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORT OF SPAIN,283,0,4,1,0,0,2,1,4,2,1,2,2,4,0,2,2,27
PORT SAID,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTLAND,257,0,1,0,2,0,2,0,1,2,1,2,0,4,1,1,2,19
PORTO ALEGRE,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PUERTO PRINCESA,217,2,4,2,2,1,2,1,4,2,1,2,1,2,1,0,3,30
QUEZON CITY,108,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
QUILMES,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUITO,333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
RAMALLAH,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGION OF PEEL,418,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
REXTON,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICHMOND HILL,105,3,4,2,2,1,2,1,4,2,1,2,2,4,1,4,3,38
RIGA,246,3,2,1,1,1,0,1,4,2,0,2,1,4,1,2,3,28
RIYADH,386,1,1,1,1,0,0,1,3,0,0,1,1,2,0,1,3,16
ROTTERDAM,245,2,0,2,2,1,0,0,0,0,1,2,0,2,1,1,3,17
ROXAS,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SAANICH,136,3,3,2,2,1,2,1,4,2,1,2,1,4,0,5,3,36
SAN ANTONIO,288,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SAN FERNANDO,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN JOSE DEL MONTE,130,1,4,0,0,1,2,1,4,2,0,2,0,0,1,0,2,20
SAN PABLO,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SALVADOR,219,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANA'A,385,2,0,2,0,0,2,1,3,2,1,1,2,2,1,5,2,26
SANTA ANA,258,2,4,2,2,1,2,1,4,2,1,2,2,4,1,5,1,36
SANTIAGO,193,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,4
SANTIAGO DE LOS CABALLEROS,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO BERNARDO DO CAMPO,176,3,4,2,1,1,2,1,4,2,0,2,0,3,0,3,3,31
SAO PAULO,29,3,3,2,2,1,2,1,4,2,1,1,1,2,1,2,2,30
SASKATOON,351,2,4,2,1,1,2,1,4,2,1,2,0,4,1,5,3,35
SEKONDI TAKORADI,233,1,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,10
SHEBEEN EL-KOM,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIDI BARRANI,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINAIA,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMITHERS,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOHAG,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUSSE,314,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ST. CATHARINES,220,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3
ST. JOHN'S,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SUCRE,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SURIGAO,153,1,3,2,0,0,2,1,4,2,0,1,0,0,0,0,0,16
SURREY,101,2,3,1,2,1,2,1,4,2,1,2,0,1,1,5,3,31
TABACO,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TACURONG,92,2,4,2,0,1,2,1,3,2,0,2,1,1,0,5,2,28
TAFILA,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGAYTAY,171,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,2,8
TANTA,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARLAC,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEHRAN,54,1,2,0,1,0,2,0,4,1,1,0,1,2,1,1,1,18
TEL AVIV-YAFO,274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
THIES,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THUNDER BAY,244,0,0,0,0,1,1,0,2,2,0,1,0,1,1,1,0,10
TOLEDO,172,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
TORONTO,1,3,4,2,2,1,2,1,4,2,1,2,2,4,1,5,3,39
TRUJILLO,253,2,2,2,0,1,2,0,3,2,1,2,2,4,0,5,3,31
TUGUEGARAO,173,2,4,2,0,1,2,1,4,2,1,2,2,3,1,5,3,35
URMIA,383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
UST KAMENOGORSK,417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VALDIVIA,406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VALPARAISO,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VANCOUVER,22,2,1,0,1,1,2,1,4,2,1,1,0,1,1,1,2,21
VAUGHAN,254,2,0,2,1,1,2,1,4,1,0,2,0,4,0,3,3,26
VICTORIA,157,1,0,0,1,1,2,1,1,2,0,2,0,0,1,2,3,17
VICTORIA,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGAN,145,1,0,2,0,1,2,0,3,2,0,2,0,1,1,1,1,17
VILNIUS,248,1,0,0,0,0,1,1,4,2,0,0,0,2,0,1,1,13
WAD MADANI,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITBY,345,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
WINDHOEK,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINDSOR,361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YAOUNDE,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZAMBOANGA,112,2,4,2,1,1,2,0,4,2,0,2,1,3,1,0,3,28
ZAPOPAN,222,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
ZARQA,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
