CityName,CityUniqueID_,economy,education,energy,environment,finance,fire and emergency response,governance,health,safety,solid waste,telecommunication and innovation,transportation,shelter,urban planning,wastewater,water and sanitation,all
Liupanshui,C243,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zunyi,C244,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Anshui,C245,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Tongren,C246,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Bijie,C247,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Kunming,C248,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Qujing,C249,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yuxi,C250,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Baoshan,C251,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shaotong,C252,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Lijiang,C253,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Lincang,C254,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Lhasa,C255,0,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,17
Xi'an,C256,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Tongchuan,C257,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Baoji,C258,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xianyang,C259,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Weinan,C260,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yan'an,C261,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Hanzhong,C262,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yulin,C263,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ankang,C264,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shangluo,C265,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
