CityName,CityUniqueID_,Annual number of public transit trips per capita_52,Average life expectancy_198,City unemployment rate_212,Commercial/industrial assessment as a percentage of total assessment_61,Debt service ratio (debt service expenditures as a percent of a municipality's own-source revenue)_106,"Green area (hectares) per 100,000 population_113",Greenhouse gas emissions measured in tonnes per capita_121,"Km of high capacity public transit system per 100,000 population_200","Km of light passenger transit system per 100,000 population_201","Number of cell phone connections per 100,000 population_177","Number of fire related deaths per 100,000 population_36","Number of firefighters per 100,000 population_32","Number of homicides per 100,000 population_44","Number of in-patient hospital beds per 100,000 population_40","Number of internet connections per 100,000 population_125",Number of personal automobiles per capita_202,"Number of physicians per 100,000 population_41","Number of police officers per 100,000 population_45",Percentage of city population living in poverty_124,Percentage of city population living in slums_122,Percentage of city population served by wastewater collection_56,Percentage of city population with authorized electrical service_103,Percentage of city population with potable water supply service_59,Percentage of city population with regular solid waste collection_47,Percentage of city population with sustainable access to an improved water source_204,Percentage of female population enrolled in schools_141,Percentage of students completing primary education_139,Percentage of students completing secondary education_140,Percentage of the city's solid waste that is recycled_146,Percentage of the city's wastewater receiving primary treatment_155,Percentage of the city's wastewater receiving secondary treatment_156,Percentage of the city's wastewater receiving tertiary treatment_157,Percentage of the city's wastewater that has received no treatment_154,PM10 Concentration_214,Student/teacher ratio_28,Total domestic water consumption per capita (litres/day)_61,Total electrical use per capita (kWh/year)_104,"Under age five mortality per 1,000 live births_38",Voter participation in last municipal election (as a percent of eligible voters)_114
DAKAR,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,
DALLAS,203,30.24,78,7.5,,20,0.69,14.41,15.56,10.13,,1.06,129.84,11.03,1062,,0.37,211.85,284.62,22.3,0,100,100,100,100,,71.5,91,87,11,100,100,100,0,28.3,30.24,647.31,2.07,5.98,10.07
DAPITAN,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR ES SALAAM,84,,,,46.5,,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,
DARKHAN,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAKA,146,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,13.63,,,,,134,,,,,
DIPOLOG,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNIPROPETROVSK,313,,,8,,,,,,,,,,,0.01,,,1637.43,,,,,,,,,89.41,39.63,60.37,,,,,,,5,,,,
DONGOLA,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBAI,59,,75.3,,,,,,,,,1.6,,1.3,175.7,,,378.9,110,,0,100,,100,100,,100,,,0,100,100,100,0,,17,48844.67,16969.29,8.8,0
DURBAN,65,149.67,54.5,20,,6.64,1833.64,7.86,42.59,1362.29,90706,1.45,13.86,40.33,230.45,41226,0.09,30.54,,31.3,33.71,92.78,75.64,95,100,98,83.81,,,13,,,,0,34,26.78,90.29,3148.77,15.83,81.22
EDMONTON,360,98.86,,,24.4,,,,2.59,,,0.62,118.6,5.91,,,0.59,,197.91,,,,,,,,,,,,,,,,,,,,,
EL UQSUR (LUXOR),397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCALANTE,82,,,4.6,,15.12,,,22.62,319.1,5250,0,0,2.13,77.08,,,19.79,52.08,25.6,,0,61.8,43.35,,,48.27,70.07,76.43,15,,,,,,37.49,,,0.01,77.69
FARO,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIANOPOLIS,99,157.44,75,9.5,,7,,,,,,,,6533,389,,0.42,467,38,17.15,14,,42.3,99,98,,,94,54,3,,,,52,,114,,,12,100
FORT WORTH,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOIANIA,271,3.03,74,9.16,,0.42,882.92,,0,1.8,144787.14,0.83,203.3,36.48,454.99,16613.29,0.54,482.15,191.39,25.12,99.62,76.71,99.7,99,100,100,42.39,14.55,27.94,4.86,78.7,0,0,21.3,,18.22,144.05,1895.32,13.79,87.59
GREATER BRISBANE,376,122.7,84,4.6,,7.7,570.1,19.54,40.7,,116300,0.46,70.4,0.8,251,81200,0.63,287,186,12.6,0,96.9,99.4,97.8,100,100,96.4,97.4,83,24,100,100,99.7,0,16.5,14.2,167,6837,5.4,81.7
GREATER MELBOURNE,223,0.3,85.85,5.9,,,,1.18,830,249,,,,,,,,368.42,,,0,100,100,100,,100,,,,,,,,,,,154,,,74.2
GUADALUPE,184,,,,,,,,,,18913.23,,7.93,,84.4,9231.83,0.52,,,,,92.89,95.82,88.23,,,,94.66,94.35,,,,,,,22.36,,,,
GUAYAQUIL,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUELPH,232,51.27,,5.23,,1.7,1839.02,8.85,280.8,,,0.81,120.33,0.81,,,0.51,,158.54,,,99.7,100,99.9,85,99.76,,,,29.56,100,100,99.98,0,,,183.7,12172.65,,33.91
HAIPHONG,165,0.07,74.5,5.1,,,34,,0,21.12,231568,0.8,24.35,1.14,314.96,7908,0.02,109.69,222.32,5.18,0.11,,100,95,97,92,92.3,99.3,98.6,5,10,0,0,90,,17.4,100,,3.34,99.53
